isbn,genre
0451529308,classic
0451529308,fiction
0451529308,historical-fiction
0451529308,young-adult
0451529308,romance
0812550706,science-fiction
0812550706,fiction
0812550706,young-adult
0812550706,fantasy
0812550706,classic
1580493882,classic
1580493882,fiction
0142001740,fiction
0142001740,historical-fiction
0142001740,young-adult
0142001740,classic
0142001740,contemporary
0142001740,chick-lit
0812550757,science-fiction
0812550757,fiction
0812550757,fantasy
0812550757,young-adult
0061120081,classic
0061120081,fiction
0061120081,historical-fiction
0061120081,young-adult
0375751513,classic
0375751513,fiction
0375751513,horror
0375751513,fantasy
0099408392,fiction
0099408392,classic
0099408392,fantasy
0099408392,young-adult
0142000663,classic
0142000663,fiction
0142000663,historical-fiction
0451525264,classic
0451525264,fiction
0451525264,historical-fiction
0451525264,romance
0143058142,classic
0143058142,fiction
0143058142,philosophy
0143058142,crime
0739326228,fiction
0739326228,historical-fiction
0739326228,romance
0739326228,classic
1400032717,fiction
1400032717,mystery
1400032717,young-adult
1400032717,contemporary
1400032717,classic
1400032717,psychology
0066238501,fantasy
0066238501,classic
0066238501,fiction
0066238501,young-adult
0066238501,christian
0060256656,classic
0060256656,fiction
0060256656,poetry
0060256656,young-adult
0060256656,fantasy
0140449264,classic
0140449264,fiction
0140449264,historical-fiction
0140449264,romance
0345391802,science-fiction
0345391802,fiction
0345391802,fantasy
0345391802,classic
0385732554,young-adult
0385732554,fiction
0385732554,classic
0385732554,science-fiction
0385732554,fantasy
038549081X,fiction
038549081X,classic
038549081X,science-fiction
038549081X,fantasy
0385722206,fiction
0385722206,historical-fiction
1609451341,fiction
1609451341,historical-fiction
1609451341,contemporary
1609450787,fiction
1609450787,historical-fiction
1609450787,contemporary
0141439580,classic
0141439580,fiction
0141439580,romance
0141439580,historical-fiction
0060786507,fiction
0060786507,historical-fiction
0060786507,classic
0060786507,religion
0141439661,classic
0141439661,fiction
0141439661,historical-fiction
0142000655,classic
0142000655,fiction
0142000655,historical-fiction
0770430074,fiction
0770430074,fantasy
0770430074,classic
0770430074,contemporary
0770430074,philosophy
0679642420,classic
0679642420,fiction
0679642420,philosophy
0679642420,historical-fiction
0451191153,fiction
0451191153,classic
0451191153,philosophy
0142437204,classic
0142437204,fiction
0142437204,romance
0142437204,historical-fiction
1600964338,classic
